"","player_name","player_id","alt_id","league_id","goal","distance","cosangle","head","throughball","cross","fast_break","big_chance","open_play","freekick","difficult"
"58581","Zlatan Ibrahimovic",741,0,3,0,69.019,0.971,0,0,0,0,0,0,1,0
"49367","Ryan Mason",2439,0,1,0,75.623,0.981,0,0,0,0,0,1,0,0
"79827","Alexis Sánchez",25,0,1,0,58.06,0.944,0,1,0,0,1,1,0,0
"92469","Jérôme Gondorf",2840,0,5,0,67.003,0.979,0,0,0,0,0,1,0,0
"49214","Herve Bazile",2096,0,3,0,72.087,0.979,0,0,0,0,0,1,0,0
"87577","Lucas Moura",857,0,3,0,60.465,0.917,0,1,0,0,0,1,0,1
"156937","Ciro Immobile",610,0,2,1,52.986,0.718,0,0,0,0,1,1,0,0
"158099","Pablo Piatti",1292,0,4,0,58.582,0.905,0,0,0,0,0,1,0,0
"129019","Federico Fernández",1096,0,1,0,49.073,0.458,0,0,0,0,1,0,0,0
"23017","Ola Toivonen",1821,0,3,0,52.907,0.785,1,0,1,0,0,1,0,0
"20212","Rachid Alioui",1595,0,3,0,88.872,0.994,0,0,0,0,0,0,1,0
"53754","Jonathan Schmid",1122,0,5,0,76.933,0.983,0,0,0,0,0,0,1,0
"140922","Bruno Gama",3391,0,4,0,59.426,0.944,0,0,0,0,0,1,0,0
"109693","Álvaro Vázquez",1137,0,4,0,47.157,-0.065,1,0,0,0,1,0,0,0
"97116","Diogo Figueiras",638,0,2,0,75.167,0.979,0,0,0,0,0,0,0,1
"176388","Sone Aluko",851,0,1,0,76.212,0.979,0,0,0,0,0,1,0,0
"150745","Diego Falcinelli",3091,0,2,0,59.688,0.913,1,0,1,0,0,1,0,0
"147326","David Silva",880,0,1,0,56.381,0.967,0,0,0,0,0,0,0,0
"10121","Gerard Deulofeu",414,0,1,0,55.429,0.967,0,1,0,0,0,1,0,0
"171878","Edinson Cavani",859,0,3,0,61.048,0.941,0,1,0,0,1,1,0,0
"22079","Elkin Soto",275,0,5,0,72.57,0.974,0,0,0,0,0,1,0,0
"78987","Carlton Cole",1139,0,1,0,56.533,0.948,0,0,0,0,0,1,0,0
"13978","Branislav Ivanovic",562,0,1,0,61.129,0.936,0,0,0,0,0,0,0,0
